"Country","Capital"
"Ulaanbaatar","Mongol Uls                   .mw-parser-output .font-mong{font-family:""Menk Hawang Tig"",""Menk Qagan Tig"",""Menk Garqag Tig"",""Menk Har_a Tig"",""Menk Scnin Tig"",""Oyun Gurban Ulus Tig"",""Oyun Qagan Tig"",""Oyun Garqag Tig"",""Oyun Har_a Tig"",""Oyun Scnin Tig"",""Oyun Agula Tig"",""Mongolian Baiti"",""Noto Sans Mongolian"",""Mongolian Universal White"",""Mongol Usug"",""Mongolian White"",""MongolianScript"",""Code2000"",""Menksoft Qagan""}.mw-parser-output .font-mong-mnc,.mw-parser-output .font-mong:lang(mnc-Mong),.mw-parser-output .font-mong:lang(dta-Mong),.mw-parser-output .font-mong:lang(sjo-Mong){font-family:""Abkai Xanyan"",""Abkai Xanyan LA"",""Abkai Xanyan VT"",""Abkai Xanyan XX"",""Abkai Xanyan SC"",""Abkai Buleku"",""Daicing White"",""Mongolian Baiti"",""Noto Sans Mongolian"",""Mongolian Universal White""}                              "
"Podgorica","Crna Gora                 "
"Brades Estate","Montserrat"
"Rabat","Amerruk / Elme  rib                   /                   Al-ma  r  b            "
"Maputo","Mo  ambique"
"Naypyidaw","Myanma                  "
"Windhoek","NamibiaNamibiaNamibi  NamibiaNamibia"
"Yaren (de facto)","NauruNaoero"
"Kathmandu","Nep  l               "
"Amsterdam","NederlandNederl  n"
"Noum  a","Nouvelle-Cal  donie"
"Wellington","New ZealandAotearoa"
"Managua","Nicaragua"
"Niamey","Niger"
"Abuja","NigeriaNijeriyaNa  j  r  y  N    j  r    "
"Alofi","Niu  Niue"
"Kingston","Norfolk IslandNorf'k Ailen"
"Skopje","Severna Makedonija                                   Maqedonia e Veriut
"
"Saipan","Northern Mariana IslandsNotte Mari  nas"
"Oslo","NorgeNoregNorgaVuodnaN    rje"
"Muscat","   Um  n          "
"Islamabad","PakistanP  kist  n              "
"Ngerulmud","BelauPalau"
"East Jerusalem (declared) Ramallah (administrative capital)","Filas     n            
"
"Panama City","Panam  "
"Port Moresby","Papua New GuineaPapua NiuginiPapua Niu Gini"
"Asunci  n","ParaguayParagu  i"
"Lima","Per  Piruw"
"Manila","PilipinasPhilippines"
"Adamstown","Pitcairn IslandsPitkern Ailen"
"Warsaw","Polska"
"Lisbon","Portugal"
"San Juan","Puerto Rico"
"Doha","Qa   ar      "
"Saint-Denis","La R  union"
"Bucharest","Rom  nia"
"Moscow","Rossiya or Rossi              "
"Kigali","Rwanda"
"The Bottom","Saba"
"Laayoune","Al-Jumh  r  yah al-   Arab  yah a   -   a   r  w  yah ad-D  muqr       yah
                                                                           
Rep  blica   rabe Saharaui Democr  tica

"
"Gustavia","Saint-Barth  lemy"
"Jamestown","Saint Helena, Ascension and Tristan da Cunha"
"Basseterre","Saint Kitts and Nevis"
"Marigot","Saint-Martin"
"Castries","Saint Lucia"
"Saint-Pierre","Saint-Pierre et Miquelon"
"Kingstown","Saint Vincent and the Grenadines"
"Apia","SamoaS  moa"
"San Marino","San Marino"
"S  o Tom  ","S  o Tom   e Pr  ncipe"
"Riyadh","Al-Mamlaka Al-   Arabiyyah as Sa     diyyah                                              "
"Dakar","S  n  galSenegaal"
"Belgrade","Srbija            "
"Victoria","SeselSeychellesSeychelles"
"Freetown","Sierra Leone"
"Singapore","SingapuraSingaporeX  nji  p           Singapur                                 "
"Philipsburg","Sint MaartenSint Maarten"
"Bratislava","Slovensko"
"Ljubljana","Slovenija"
"Honiara","Solomon IslandsSolomon Aelan"
"Mogadishu","Soomaaliyaa  -    m  l              "
"Pretoria (administrative capital), Cape Town (legislative capital), Bloemfontein, (judicial capital)","South AfricaSuid-AfrikaiNingizimu AfrikauMzantsi AfrikaAfrika-BorwaAfrika BorwaAforika BorwaAfurika TshipembeAfrika DzongaiNingizimu AfrikaiSewula Afrika"
"Juba","South SudanSudan KusiniPaguot Thud  n"
"Madrid","Espa  aEspanyaEspainiaEspanha"
"Sri Jayawardenapura Kotte","Sri Lank                                                   "
"Oranjestad","Sint EustatiusStatia"
"Khartoum","As-Sudan              "
"Paramaribo","Suriname"
"Longyearbyen","Svalbard"
"Stockholm","Sverige"
"Bern (de facto)","SchweizSuisseSvizzeraSvizra"
"Damascus","Suriyah          "
"Taipei","Zh  nghu   M  ngu   or T  iw  n             or       /      "
"Dushanbe","Tojikistan                    "
"Dodoma","Tanzania"
"Bangkok","Thai, Prathet Thai, Ratcha-anachak Thai         ,                            ,                                           "
"Lom  ","TogoTogoTogo"
""," Tokelau"
"Nuku  alofa","Tonga"
"Port of Spain","Trinidad and Tobago"
"Tunis","Tunes            T  ns        "
"Ankara","T  rkiye"
"Ashgabat","T  rkmenistan"
"Cockburn Town","Turks and Caicos Islands"
"Fongafale (in Funafuti)","Tuvalu"
"Kampala","Uganda"
"Kyiv","Ukrajina              "
"Abu Dhabi","Al-   Im  rat Al-   Arabiyyah Al-Mutta   idah                                                  "
"London","United Kingdom or BritainY Deyrnas UnedigUnitit KinrickR  oghachd AonaichteR  ocht AontaitheAn Rywvaneth Unys"
"Washington, D.C.","United States or AmericaEstados Unidos  tats-Unis(multiple names)   Amelika Hui P      ia"
"Charlotte Amalie","United States Virgin Islands"
"Montevideo","Uruguay"
"Tashkent","O   zbekiston                    "
"Port Vila","Vanuatu"
"Vatican City","Civitas VaticanaCitt   del Vaticano"
"Caracas","Venezuela"
"Hanoi","Vi   t Nam"
"Mata Utu","Wallis-et-Futuna  Uvea mo Futuna"
"Sana'a","Al-Yaman          "
"Lusaka","Zambia"
"Harare","Zimbabwe"
